120473291 SESSION_BEGIN 24
120583200 DOWN -0.3469 -0.2625
120583821 DOWN 0.6156 -0.3594
120583859 MOVE 0.6082 -0.3594
120583892 MOVE 0.6094 -0.3656
120583893 DOWN 0.6094 -0.3656
120584395 DOWN 0.4531 0.5625
120584489 MOVE 0.4469 0.5562
120584489 DOWN 0.4469 0.5562
120584860 DOWN -0.1969 0.4531
120584909 MOVE -0.1896 0.4209
120584911 DOWN -0.1896 0.4209
120585816 DOWN -0.2875 -0.3750
120585877 DOWN -0.2875 -0.3750
120586313 DOWN 0.1562 -0.4125
120586418 MOVE 0.1562 -0.4094
120586419 DOWN 0.1562 -0.4094
120586833 DOWN 0.3750 0.4094
120586927 DOWN 0.3750 0.4094
120587375 DOWN -0.2156 0.6750
120587469 MOVE -0.2125 0.6750
120587470 DOWN -0.2125 0.6750
120588123 DOWN 0.4156 0.7250
120588193 MOVE 0.4189 0.7283
120588196 DOWN 0.4189 0.7283
120588321 SYNCTIME f73
120588643 DOWN 0.6313 -0.3031
120588715 MOVE 0.6313 -0.3000
120588716 DOWN 0.6313 -0.3000
120591556 DOWN -0.3094 -0.4469
120591628 MOVE -0.3027 -0.4435
120591629 DOWN -0.3027 -0.4435
120591945 SELECT 0
120592010 MOVE -0.1844 -0.2875
120592011 DOWN -0.1844 -0.2875
120592720 BEGIN 86
120593616 DOWN 0.5875 -0.0844
120593661 MOVE 0.5875 -0.0907
120593694 MOVE 0.5875 -0.0949
120593711 MOVE 0.5875 -0.0867
120593720 MOVE 0.5875 -0.0844
120593721 DOWN 0.5875 -0.0844
120594821 DOWN 0.7281 0.6250
120594845 MOVE 0.7249 0.6250
120594904 MOVE 0.7281 0.6250
120594904 DOWN 0.7281 0.6250
120595460 DOWN -0.1937 0.5500
120595495 MOVE -0.1981 0.5500
120595528 MOVE -0.1937 0.5500
120595543 MOVE -0.1844 0.5531
120595544 DOWN -0.1844 0.5531
120596013 DOWN -0.2469 -0.3031
120596045 MOVE -0.2201 -0.2645
120596052 MOVE -0.2156 -0.2594
120596052 DOWN -0.2156 -0.2594
120598881 DOWN 0.6594 -0.4000
120598913 MOVE 0.6625 -0.3531
120598922 MOVE 0.6625 -0.3344
120598922 DOWN 0.6625 -0.3344
120599304 DOWN 0.5375 0.5250
120599354 MOVE 0.5375 0.5281
120599355 DOWN 0.5375 0.5281
120599976 DOWN -0.4625 0.6500
120600045 MOVE -0.4560 0.6598
120600049 DOWN -0.4560 0.6598
120600420 DOWN -0.3562 -0.4031
120600482 DOWN -0.3562 -0.4031
120600918 DOWN 0.4625 -0.2250
120600947 MOVE 0.4587 -0.2173
120600948 DOWN 0.4587 -0.2173
120601822 SYNCTIME f86
120602112 DOWN 0.3969 0.6094
120602146 MOVE 0.3938 0.6125
120602152 MOVE 0.3938 0.6125
120602153 DOWN 0.3938 0.6125
120604905 DOWN -0.4437 0.5437
120604956 DOWN -0.4437 0.5437
120605240 SELECT 2
120605291 MOVE -0.4250 0.6062
120605291 DOWN -0.4250 0.6062
120606179 BEGIN 82
120607020 DOWN -0.2562 -0.3812
120607039 DOWN -0.2562 -0.3812
120607876 DOWN 0.5844 -0.2062
120607947 MOVE 0.5915 -0.1789
120607950 DOWN 0.5915 -0.1789
120608560 DOWN 0.5781 0.7156
120608630 MOVE 0.5781 0.7090
120608633 DOWN 0.5781 0.7090
120609462 DOWN -0.2594 0.6750
120609481 MOVE -0.2594 0.6703
120609497 MOVE -0.2594 0.6685
120609514 MOVE -0.2594 0.6641
120609530 MOVE -0.2559 0.6622
120609545 MOVE -0.2531 0.6594
120609545 DOWN -0.2531 0.6594
120611516 DOWN -0.6281 -0.3500
120611531 MOVE -0.6242 -0.3500
120611548 MOVE -0.6195 -0.3500
120611564 MOVE -0.6147 -0.3459
120611577 MOVE -0.6094 -0.3500
120611577 DOWN -0.6094 -0.3500
120612025 DOWN 0.6938 -0.3500
120612065 MOVE 0.6938 -0.3537
120612081 MOVE 0.6938 -0.3578
120612086 DOWN 0.6938 -0.3578
120612567 DOWN 0.5500 0.6500
120612648 MOVE 0.5500 0.6616
120612650 DOWN 0.5500 0.6616
120613108 DOWN -0.4344 0.7188
120613131 MOVE -0.4344 0.7219
120613137 DOWN -0.4344 0.7219
120614047 SYNCTIME f82
120618893 DOWN 0.4969 0.6562
120618921 DOWN 0.4969 0.6562
120619511 DOWN -0.4062 -0.4156
120619532 MOVE -0.4109 -0.4156
120619551 DOWN -0.4109 -0.4156
120620172 DOWN -0.4281 0.6500
120620211 MOVE -0.4250 0.6469
120620212 DOWN -0.4250 0.6469
120620583 DOWN 0.5656 -0.4812
120620612 DOWN 0.5656 -0.4812
120621005 SELECT 1
120621064 DOWN 0.5094 -0.4094
120621835 BEGIN 94
120623209 DOWN 0.6812 -0.3719
120623300 MOVE 0.6778 -0.3788
120623324 DOWN 0.6778 -0.3788
120623838 DOWN 0.6531 0.4969
120623901 MOVE 0.6496 0.4969
120623911 DOWN 0.6496 0.4969
120624804 DOWN -0.3812 0.5875
120624850 MOVE -0.3780 0.5842
120624865 MOVE -0.3750 0.5813
120624865 DOWN -0.3750 0.5813
120625430 DOWN -0.3688 -0.3344
120625485 MOVE -0.3719 -0.3313
120625486 DOWN -0.3719 -0.3313
120626518 DOWN 0.6281 -0.3531
120626534 MOVE 0.6239 -0.3531
120626551 MOVE 0.6163 -0.3531
120626567 MOVE 0.6023 -0.3531
120626584 MOVE 0.5912 -0.3503
120626590 MOVE 0.5906 -0.3500
120626591 DOWN 0.5906 -0.3500
120626972 DOWN 0.4938 0.5000
120627017 MOVE 0.4875 0.5000
120627034 MOVE 0.4828 0.5000
120627045 MOVE 0.4750 0.4969
