130123428 MOVE -0.4154 0.4998
130123432 DOWN -0.4154 0.4998
130123605 SELECT 2
130123659 DOWN -0.3531 0.3688
130124392 BEGIN 54
130125279 DOWN -0.4062 -0.4563
130125308 MOVE -0.4031 -0.4563
130125308 DOWN -0.4031 -0.4563
130126051 DOWN -0.2969 0.5469
130126080 DOWN -0.2969 0.5469
130126994 DOWN 0.5938 0.7125
130127013 MOVE 0.5938 0.7078
130127029 MOVE 0.5938 0.6963
130127034 DOWN 0.5938 0.6963
130128133 DOWN 0.5594 -0.1094
130128146 MOVE 0.5594 -0.1058
130128161 MOVE 0.5594 -0.1031
130128162 DOWN 0.5594 -0.1031
130130109 DOWN 0.6000 -0.4563
130130130 MOVE 0.6025 -0.4643
130130138 MOVE 0.6031 -0.4656
130130139 DOWN 0.6031 -0.4656
130130816 DOWN 0.6000 0.3406
130130878 DOWN 0.6000 0.3406
130131514 DOWN -0.2219 0.5469
130131542 MOVE -0.2188 0.5469
130131543 DOWN -0.2188 0.5469
130132105 DOWN -0.3281 -0.5500
130132121 DOWN -0.3281 -0.5500
130133338 SYNCTIME f54
130136553 DOWN -0.3500 -0.3625
130136581 DOWN -0.3500 -0.3625
130136776 SELECT 0
130136796 DOWN -0.2594 -0.4594
130137735 BEGIN 12
130139630 DOWN -0.3250 -0.5500
130139648 MOVE -0.3294 -0.5500
130139665 MOVE -0.3373 -0.5500
130139681 MOVE -0.3391 -0.5500
130139692 DOWN -0.3391 -0.5500
130140512 DOWN -0.1969 0.5469
130140541 DOWN -0.1969 0.5469
130141295 DOWN 0.5562 0.6062
130141332 MOVE 0.5598 0.6062
130141333 DOWN 0.5598 0.6062
130142228 DOWN 0.6875 -0.3125
130142249 MOVE 0.6818 -0.3182
130142265 MOVE 0.6797 -0.3203
130142267 DOWN 0.6797 -0.3203
130143946 DOWN -0.3469 -0.5031
130143964 MOVE -0.3438 -0.5031
130143964 DOWN -0.3438 -0.5031
130144406 DOWN 0.5406 -0.5156
130144435 DOWN 0.5406 -0.5156
130144961 DOWN 0.6000 0.5875
130144982 MOVE 0.5980 0.5783
